Distancia_km,Tipo_Falta,Imax_T2F,Imax_Trif,Imax_Mono
0.5,ABC,202.79972159255,303.775424855638,109.745822496644
0.5,AC,109.750259703765,109.745822496644,109.745822496644
0.5,BC,109.750304479306,109.745822496644,109.745822496644
0.5,AB,127.311100196603,186.876276047776,109.745822496644
1,ABC,199.686703739733,299.479428344964,108.682855909621
1,AC,108.687218185761,108.682855909621,108.682855909621
1,BC,108.687307058162,108.682855909621,108.682855909621
1,AB,125.923275226301,184.067911801804,108.682855909621
2,ABC,193.710205888728,290.988210214729,106.614314058947
2,AC,106.618531324493,106.614314058947,106.614314058947
2,BC,106.618705871205,106.614314058947,106.614314058947
2,AB,123.236183435661,178.681984853519,106.614314058947
5,ABC,177.570039636961,266.669614118197,100.834511580456
5,AC,100.838329075767,100.834511580456,100.834511580456
5,BC,100.83874204695,100.834511580456,100.834511580456
5,AB,115.819807259654,164.173477913667,100.834511580456
10,ABC,155.509118146793,231.118046460836,92.4284249218212
10,AC,92.4316741163892,92.4284249218212,92.4284249218212
10,BC,92.4324313588825,92.4284249218212,92.4284249218212
10,AB,105.2578929606,144.423449308645,92.4284249218212
20,ABC,123.771412638171,178.361661306349,79.1173790277958
20,AC,79.1197556902999,79.1173790277958,79.1173790277958
20,BC,79.1210521860151,79.1173790277958,79.1173790277958
20,AB,89.0137110292116,116.128658122673,79.1173790277958
40,ABC,86.7937173177169,119.150496352444,61.2751667600022
40,AC,61.2764145631188,61.2751667600022,61.2751667600022
40,BC,61.2784228439098,61.2751667600022,61.2751667600022
40,AB,68.0083763438074,83.1387920523919,61.2751667600022
60,ABC,67.3282099842285,88.5448140952503,49.9278672616566
60,AC,49.9284139546456,49.9278672616566,49.9278672616566
60,BC,49.9308684924214,49.9278672616566,49.9278672616566
60,AB,55.0189815561828,64.6388994674641,49.9278672616566
